,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
66,BabouYann,Les apparences nous mentent donc t'étonne pas quand les masques ils tombent... #JNVPQDB #Barcelonais #Congolais 🇨🇬 Insta: _don_corleonne_ Snap: le_visionnaire,,193,373,151195,0,RT @fcbarcelona_fra: 🔙Voici les meilleurs moments des 7️⃣ derniers jours du Barça ! 🔵🔴 https://t.co/PcqVFMCZWL,[],2017-09-29 23:25:46
67,Padova_News,,"Padova, Veneto",1206,588,147879,0,"MONIGO, DIVERSI CASI DI MOLESTIE: PAURA FRA I RESIDENTI - Rete Veneta https://t.co/ZEHrLW4FHo",[],2017-09-29 23:25:43
68,official_topz,"tOPZ | 17 years old CS:GO player
Representing @eSpumagg 🇩🇰 🔥
Business Inquiries through DM ✉","Aalborg, Danmark",415,136,1028,0,"@astralisgg 
Er i gal en kamp fra jeres side af :O
Sindsygt spillet drengene
&lt;3",[],2017-09-29 23:25:39
69,MariaAn93639006,E chissà dove finisce il mare dove la gente traccia il suo confine.Oltre il quale non ci sono strade dove non chiudi gli occhi per sognare.,"Piedimonte Matese, Campania",1359,772,53087,4,Fra luce e nuvole di miele fra luce e nuvole di miele  fra luce e nuvole di miele #MTVEMA #NominoErmalMeta,"['MTVEMA', 'NominoErmalMeta']",2017-09-29 23:25:21
70,CocoLaVieEnRose,Valeria Arizzi alias Coco | Fashion Blogger | Beauty reporter for @GlamourItalia | 🌷Woman supporting women 👉🏻 IG cocolavieenrose,Italy,102214,102716,147033,0,voguemagazine: https://t.co/HaNMxUXtvE and Alexis Traina co-hosted an elegant launch for Traina's book in San Fra… https://t.co/rbwUxfuDCy,[],2017-09-29 23:24:46
71,ScherfigKruse,,,507,86,12573,0,@ChristianWolny @stefankirkedal @StureSandoe @Fodboldpodcast Det er jo altid et sats om man kan formå at transforme… https://t.co/Am3QKCM866,[],2017-09-29 23:24:16
72,GGennar,,"Torre del Greco, Campania",260,298,26571,0,"RT @RossellaM95: «Ti vedo ad occhi chiusi, e sai perché? Fra miliardi di persone ho visto solo te.»

Agli #MTVEMA #NominoMarcoMengoni

@mtv…","['MTVEMA', 'NominoMarcoMengoni']",2017-09-29 23:23:48
73,CedricLIMARE,"J'aime les comics, les jeux vidéo, le cinéma, les nouvelles technologies. J'aime vivre simplement et sans se prendre la tête","Brix, France",3132,205,15791,0,"RT @Thomson_FRA: Prendre une température sans contact est idéal ! Essayez de gagner le thermomètre TDT8806 ici ➡ Follow + RT, RdV à 18h. #B…",[],2017-09-29 23:23:09
74,FashionBuzzNEWS,Editor of http://FashionBuzz.press,World Wide,27,80,118925,0,voguemagazine: https://t.co/4AOORNAT0r and Alexis Traina co-hosted an elegant launch for Traina's book in San Fra… https://t.co/Z0vpXIAhZX,[],2017-09-29 23:23:00
75,DiasMarconi,Depois eu dou um talento na bio.,,335,687,8393,0,@HenrikyMello Nome disso é Fra...,[],2017-09-29 23:22:24
